gpoi_type,lit_type,n,n_pois,thres_m,lit_per_poi,all_lit,lit_pc
bar,bottle,94,23,20,4.09,178557,0.1
bar,candy,118,23,20,5.13,178557,0.1
bar,piece,257,23,20,11.17,178557,0.1
bar,firework,45,23,20,1.96,178557,0
bar,bag,53,23,20,2.3,178557,0
bar,energydrink,91,23,20,3.96,178557,0.1
bar,beer,59,23,20,2.57,178557,0
bar,aluminum,31,23,20,1.35,178557,0
bar,knetterbal,42,23,20,1.83,178557,0
bar,redbull,50,23,20,2.17,178557,0
bar,cup,50,23,20,2.17,178557,0
bar,mcdonalds,28,23,20,1.22,178557,0
bar,drink,10,23,20,0.43,178557,0
bar,antaflu,36,23,20,1.57,178557,0
beauty_salon,all,76,4,20,19,178557,0
beauty_salon,plastic,37,4,20,9.25,178557,0
beauty_salon,can,7,4,20,1.75,178557,0
beauty_salon,wrapper,16,4,20,4,178557,0
beauty_salon,paper,10,4,20,2.5,178557,0
beauty_salon,metal,7,4,20,1.75,178557,0
beauty_salon,cigarette,7,4,20,1.75,178557,0
beauty_salon,bottle,2,4,20,0.5,178557,0
beauty_salon,candy,9,4,20,2.25,178557,0
beauty_salon,piece,16,4,20,4,178557,0
beauty_salon,firework,1,4,20,0.25,178557,0
beauty_salon,bag,8,4,20,2,178557,0
beauty_salon,energydrink,4,4,20,1,178557,0
beauty_salon,beer,2,4,20,0.5,178557,0
beauty_salon,aluminum,6,4,20,1.5,178557,0
beauty_salon,knetterbal,3,4,20,0.75,178557,0
beauty_salon,redbull,1,4,20,0.25,178557,0
beauty_salon,cup,5,4,20,1.25,178557,0
beauty_salon,mcdonalds,1,4,20,0.25,178557,0
beauty_salon,drink,1,4,20,0.25,178557,0
beauty_salon,antaflu,2,4,20,0.5,178557,0
book_store,all,404,12,20,33.67,178557,0.2
book_store,plastic,157,12,20,13.08,178557,0.1
book_store,can,28,12,20,2.33,178557,0
book_store,wrapper,52,12,20,4.33,178557,0
book_store,paper,73,12,20,6.08,178557,0
book_store,metal,22,12,20,1.83,178557,0
book_store,cigarette,18,12,20,1.5,178557,0
book_store,bottle,10,12,20,0.83,178557,0
book_store,candy,30,12,20,2.5,178557,0
book_store,piece,42,12,20,3.5,178557,0
book_store,firework,6,12,20,0.5,178557,0
book_store,bag,14,12,20,1.17,178557,0
book_store,energydrink,9,12,20,0.75,178557,0
book_store,beer,6,12,20,0.5,178557,0
book_store,aluminum,11,12,20,0.92,178557,0
book_store,knetterbal,6,12,20,0.5,178557,0
book_store,redbull,4,12,20,0.33,178557,0
book_store,cup,6,12,20,0.5,178557,0
book_store,mcdonalds,5,12,20,0.42,178557,0
book_store,drink,3,12,20,0.25,178557,0
book_store,antaflu,19,12,20,1.58,178557,0
bus_station,all,532,5,20,106.4,178557,0.3
bus_station,plastic,325,5,20,65,178557,0.2
bus_station,can,64,5,20,12.8,178557,0
bus_station,wrapper,72,5,20,14.4,178557,0
bus_station,paper,37,5,20,7.4,178557,0
bus_station,metal,68,5,20,13.6,178557,0
bus_station,cigarette,43,5,20,8.6,178557,0
bus_station,bottle,28,5,20,5.6,178557,0
bus_station,candy,34,5,20,6.8,178557,0
bus_station,piece,35,5,20,7,178557,0
bus_station,firework,114,5,20,22.8,178557,0.1
bus_station,bag,31,5,20,6.2,178557,0
bus_station,energydrink,32,5,20,6.4,178557,0
bus_station,beer,22,5,20,4.4,178557,0
bus_station,aluminum,8,5,20,1.6,178557,0
bus_station,knetterbal,101,5,20,20.2,178557,0.1
bus_station,redbull,15,5,20,3,178557,0
bus_station,cup,6,5,20,1.2,178557,0
bus_station,mcdonalds,2,5,20,0.4,178557,0
bus_station,drink,4,5,20,0.8,178557,0
bus_station,antaflu,21,5,20,4.2,178557,0
cafe,all,1526,24,20,63.58,178557,0.9
cafe,plastic,671,24,20,27.96,178557,0.4
cafe,can,172,24,20,7.17,178557,0.1
cafe,wrapper,239,24,20,9.96,178557,0.1
cafe,paper,240,24,20,10,178557,0.1
cafe,metal,162,24,20,6.75,178557,0.1
cafe,cigarette,110,24,20,4.58,178557,0.1
cafe,bottle,69,24,20,2.88,178557,0
cafe,candy,121,24,20,5.04,178557,0.1
cafe,piece,222,24,20,9.25,178557,0.1
cafe,firework,17,24,20,0.71,178557,0
cafe,bag,59,24,20,2.46,178557,0
cafe,energydrink,67,24,20,2.79,178557,0
cafe,beer,60,24,20,2.5,178557,0
cafe,aluminum,26,24,20,1.08,178557,0
cafe,knetterbal,14,24,20,0.58,178557,0
cafe,redbull,37,24,20,1.54,178557,0
cafe,cup,43,24,20,1.79,178557,0
cafe,mcdonalds,15,24,20,0.62,178557,0
cafe,drink,10,24,20,0.42,178557,0
cafe,antaflu,49,24,20,2.04,178557,0
department_store,all,291,4,20,72.75,178557,0.2
department_store,plastic,157,4,20,39.25,178557,0.1
department_store,can,36,4,20,9,178557,0
department_store,wrapper,32,4,20,8,178557,0
department_store,paper,58,4,20,14.5,178557,0
department_store,metal,32,4,20,8,178557,0
department_store,cigarette,22,4,20,5.5,178557,0
department_store,bottle,21,4,20,5.25,178557,0
department_store,candy,15,4,20,3.75,178557,0
department_store,piece,20,4,20,5,178557,0
department_store,firework,23,4,20,5.75,178557,0
department_store,bag,9,4,20,2.25,178557,0
department_store,energydrink,18,4,20,4.5,178557,0
department_store,beer,6,4,20,1.5,178557,0
department_store,aluminum,5,4,20,1.25,178557,0
department_store,knetterbal,23,4,20,5.75,178557,0
department_store,redbull,14,4,20,3.5,178557,0
department_store,cup,16,4,20,4,178557,0
department_store,mcdonalds,9,4,20,2.25,178557,0
department_store,drink,1,4,20,0.25,178557,0
department_store,antaflu,5,4,20,1.25,178557,0
gas_station,all,410,16,20,25.62,178557,0.2
gas_station,plastic,191,16,20,11.94,178557,0.1
gas_station,can,34,16,20,2.12,178557,0
gas_station,wrapper,61,16,20,3.81,178557,0
gas_station,paper,74,16,20,4.62,178557,0
gas_station,metal,29,16,20,1.81,178557,0
gas_station,cigarette,26,16,20,1.62,178557,0
gas_station,bottle,13,16,20,0.81,178557,0
gas_station,candy,17,16,20,1.06,178557,0
gas_station,piece,59,16,20,3.69,178557,0
