litter_tag,count,percentage
action,58,0.03
campina,58,0.03
mcflurry,58,0.03
pringles,58,0.03
esso,57,0.03
appelsientje,56,0.03
gauloises,56,0.03
eukalyptus,55,0.03
plasticwrapper,55,0.03
deklok,54,0.03
mandms,54,0.03
mascotte,54,0.03
melkan,54,0.03
music,54,0.03
waterballoon,54,0.03
bros,53,0.03
flowerbed,53,0.03
lollipop,53,0.03
hlr2,52,0.03
tobacco,52,0.03
air,51,0.03
danone,51,0.03
papier,51,0.03
snellejelle,51,0.03
werthers,51,0.03
gazeuse,50,0.03
holtland,50,0.03
middle,50,0.03
cdcover,49,0.03
gelatelli,49,0.03
melkunie,49,0.03
tea,49,0.03
autodrop,48,0.03
energiedrink,48,0.03
pouch,48,0.03
smint,48,0.03
clothes,46,0.03
cookiewrap,46,0.03
energy,46,0.03
skittles,46,0.03
perlenbacher,45,0.03
surango,45,0.03
chocomel,44,0.02
tissues,44,0.02
cola,43,0.02
hairband,43,0.02
jackdaniels,43,0.02
plasticstraw,43,0.02
wristband,43,0.02
energy drink,42,0.02
fruitfris,42,0.02
fuzetea,42,0.02
kanjers,42,0.02
o2,42,0.02
cloth,41,0.02
hollandia,41,0.02
mountaindew,41,0.02
smirnoff,41,0.02
chocolate,40,0.02
ditch,40,0.02
king,40,0.02
piepschuim,40,0.02
verkade,40,0.02
balconi,39,0.02
corona,39,0.02
flamingo,39,0.02
jillz,39,0.02
tastinggood,39,0.02
nestle,38,0.02
net,38,0.02
rizla,38,0.02
hlr3,38,0.02
vrijeschool,38,0.02
bonbonita,37,0.02
card,37,0.02
drinkcup,37,0.02
foodwrapper,37,0.02
lotus,37,0.02
uggo,37,0.02
cigarettepackwrap,37,0.02
kent,36,0.02
rope fibre,36,0.02
ace,35,0.02
brand,35,0.02
timeout,35,0.02
brinky,34,0.02
katja,34,0.02
smarties,34,0.02
tempo,34,0.02
wiet,34,0.02
drpepper,33,0.02
l&m,33,0.02
vanmelle,33,0.02
flugel,32,0.02
jar,32,0.02
jawbreakers,32,0.02
kassabon,32,0.02
lookolook,32,0.02
moam,32,0.02
naturis,32,0.02
bigpiece,31,0.02
birdfood,31,0.02
kongstrong,31,0.02
schweppes,31,0.02
2,30,0.02
durex,30,0.02
floralys,30,0.02
package,30,0.02
ziplock,30,0.02
balisto,29,0.02
crystalclear,29,0.02
knife,29,0.02
peijnenburg,29,0.02
troep,29,0.02
venco,29,0.02
zev1,29,0.02
de klok,28,0.02
foodtray,28,0.02
lacubanita,28,0.02
landerbrau,28,0.02
onbekend,28,0.02
wildbeancafe,28,0.02
blauwmouw,28,0.02
argus,27,0.02
barleduc,27,0.02
brouwers,27,0.02
cannabis,27,0.02
cheetos,27,0.02
croky,27,0.02
daim,27,0.02
dentalcare,27,0.02
dilly,27,0.02
frenchfries,27,0.02
perla,27,0.02
shell,27,0.02
towel,27,0.02
veltins,27,0.02
malibu,26,0.01
plastic confetti,26,0.01
powergeneration,26,0.01
red bull,26,0.01
smoeltjes,26,0.01
stopstart,26,0.01
null,26,0.01
beercan,25,0.01
captainmorgan,25,0.01
carmen,25,0.01
royalclub,25,0.01
coop,24,0.01
fishermansfriend,24,0.01
mcnuggets,24,0.01
papertowel,24,0.01
part,24,0.01
pen,24,0.01
pitt bier,24,0.01
topaqua,24,0.01
wettissue,24,0.01
wire,24,0.01
alfa,23,0.01
basicfit,23,0.01
fitness,23,0.01
macdonalds,23,0.01
microplastics,23,0.01
packingpeanut,23,0.01
postnl,23,0.01
snack,23,0.01
vitafit,23,0.01
hoppe,22,0.01
ice,22,0.01
kwalitaria,22,0.01
lu,22,0.01
party,22,0.01
ribbon,22,0.01
salt,22,0.01
yakult,22,0.01
albert heijn,21,0.01
dominos,21,0.01
energyfood,21,0.01
grassgrid,21,0.01
harrydegroot,21,0.01
hygiene,21,0.01
jamin,21,0.01
pickwick,21,0.01
voetje,21,0.01
cigarettepack wrapper,21,0.01
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
