Var1,Freq,pc
cigarettepackwrap,667,0.04
7up,664,0.04
kongstrong,661,0.04
poo,650,0.04
hertog jan,645,0.04
bolletje,642,0.04
milkshake,634,0.04
sondey,634,0.04
bifi,631,0.04
supschoon,621,0.04
carpart,620,0.04
quellbrunn,619,0.04
singleuse,618,0.04
energydrinkcan,614,0.04
parking,612,0.04
mega force,611,0.04
sisi,608,0.04
melkunie,607,0.04
luckystrike,606,0.04
part,602,0.04
coop,597,0.04
juicebox,588,0.03
pringles,587,0.03
newspaper,580,0.03
schredderd,580,0.03
coca cola,575,0.03
babywipe,573,0.03
rutte,572,0.03
big,569,0.03
lekkerduurzaam,567,0.03
lion,566,0.03
fishing net,561,0.03
hsb,559,0.03
de klok,558,0.03
dommelsch,558,0.03
firstchoice,558,0.03
fuzetea,558,0.03
pulltab,555,0.03
shakura,549,0.03
dt4,548,0.03
vulspul,546,0.03
giro555,545,0.03
dubbelfrisss,538,0.03
hema,521,0.03
wiet,518,0.03
cracklingballs,515,0.03
deen,514,0.03
dop,509,0.03
fishinggear,500,0.03
veltins,500,0.03
1,497,0.03
lachgas,496,0.03
wettissue,496,0.03
gauloises,494,0.03
litter,491,0.03
maaza,490,0.03
kong,488,0.03
papertowel,488,0.03
sock,482,0.03
ns,477,0.03
jumbo broodjes,476,0.03
albert heijn,475,0.03
council,475,0.03
ice,475,0.03
placingnewheelbin,475,0.03
zev1,474,0.03
blister,469,0.03
kent,467,0.03
textile,466,0.03
shoppingbag,463,0.03
card,460,0.03
Silvolde,459,0.03
waterballoon,459,0.03
fiesta,456,0.03
lu,447,0.03
oke,446,0.03
sigarettenpakje,438,0.03
cottonbud,435,0.03
fabricationresidu,429,0.03
paperbag,428,0.03
vispluis,423,0.02
macdonalds,414,0.02
flugel,413,0.02
fruitshoot,413,0.02
towel,411,0.02
dog,409,0.02
febo,409,0.02
brand,405,0.02
milk,402,0.02
bueno,399,0.02
flower,399,0.02
hard plastic,399,0.02
autodrop,395,0.02
red bull,394,0.02
stimorol,394,0.02
filler,386,0.02
microfiber,386,0.02
rijn,382,0.02
arizona,381,0.02
shopping,381,0.02
skittles,379,0.02
finkbrau,377,0.02
jps,377,0.02
sticker,377,0.02
argus,375,0.02
danone,374,0.02
cigarettewikkel,372,0.02
milbona,372,0.02
venco,368,0.02
net,367,0.02
aa,366,0.02
tempo,366,0.02
extran,365,0.02
landerbrau,364,0.02
perfekt,363,0.02
wt2,363,0.02
dt3,360,0.02
pitt bier,360,0.02
williamlawsons,360,0.02
fish,359,0.02
appelsientje,358,0.02
fruitella,358,0.02
durex,355,0.02
magnum,354,0.02
unknown1,352,0.02
perlenbacher,351,0.02
candyman,348,0.02
qtip,348,0.02
bier,347,0.02
bicycle,346,0.02
tissues,346,0.02
kinderbueno,345,0.02
chesterfield,343,0.02
corona,343,0.02
m&m,342,0.02
exposingtrash,341,0.02
rietje,341,0.02
sugar,341,0.02
clip,336,0.02
travel,334,0.02
canabis,333,0.02
3,331,0.02
bros,331,0.02
shredderd,331,0.02
verkade,331,0.02
perla,330,0.02
alfa,328,0.02
plastic fles,328,0.02
sheet,328,0.02
wire,327,0.02
cotton,326,0.02
repacking,326,0.02
fluttasje,325,0.02
btween,321,0.02
pervasco,320,0.02
popsiclestick,320,0.02
subway,318,0.02
weed,318,0.02
dors,317,0.02
ricasa,316,0.02
bottlering,314,0.02
shoe,313,0.02
softdrink,313,0.02
kanjers,311,0.02
nonfood,310,0.02
filework,309,0.02
D3,308,0.02
filter,308,0.02
energie,307,0.02
uggo,307,0.02
douweegberts,305,0.02
nbraapt,303,0.02
lutti,299,0.02
gumwrapper,298,0.02
kerstmarkt,298,0.02
wilhelminapepermunt,298,0.02
jillz,295,0.02
snellejelle,294,0.02
piece of plastic,292,0.02
campina,291,0.02
action,290,0.02
drugszakje,290,0.02
koek,290,0.02
wt1,290,0.02
aluminumfoil,289,0.02
lotus,289,0.02
bic,286,0.02
daim,283,0.02
eclairs,283,0.02
elastic,282,0.02
roosvicee,282,0.02
afvalvrijplichtfabikant,281,0.02
brouwers,281,0.02
onmogelijkruimen,281,0.02
condom,280,0.02
metalfoil,279,0.02
vannelle,278,0.02
flesje,276,0.02
katja,276,0.02
narcotics,275,0.02
bin,273,0.02
smirnoff,273,0.02
werthers,272,0.02
landm,271,0.02
mogumogu,269,0.02
dubbelfris,268,0.02
bikelight,267,0.02
candywrap,267,0.02
popsicle,267,0.02
to,267,0.02
streetbossyes,267,0.02
peijnenburg,265,0.02
hoogvliet,264,0.02
clothespin,263,0.02
clothing,262,0.02
gvb,262,0.02
plastic confetti,262,0.02
kong strong,261,0.02
pet,261,0.02
fishing,260,0.02
markant,260,0.02
bubblicious,259,0.02
frenchfries,257,0.02
soft plastic,257,0.02
fishingwire,256,0.02
optimel,256,0.02
rijn1,256,0.02
aluminiumfoliage,255,0.02
vomar,255,0.02
straatbaasyes,255,0.02
medicin,253,0.01
aa drink,252,0.01
holtland,252,0.01
Gendringen,251,0.01
melkan,249,0.01
broodzak,248,0.01
croky,248,0.01
tea,248,0.01
handkerchief,247,0.01
foodtray,246,0.01
lager,246,0.01
lucky strike,245,0.01
party,243,0.01
hardthof,242,0.01
voetje,242,0.01
co2,241,0.01
energy drinks,241,0.01
chipsbag,240,0.01
radler,239,0.01
snoepverpakking,239,0.01
sugarland,239,0.01
plant,233,0.01
drinkcup,231,0.01
lookolook,231,0.01
papieren zakdoek,229,0.01
reciept,229,0.01
buildingmaterial,228,0.01
deodorant,227,0.01
vandervalk,227,0.01
elastiek,226,0.01
jackdaniels,226,0.01
spar,226,0.01
organic,223,0.01
rizla,223,0.01
cheetos,222,0.01
reuring,222,0.01
de,221,0.01
