tag1,tag2,count,percentage,rank
cup,icecream,1031,1.4,8
cup,straw,1015,1.3,9
cup,beer,834,1.1,10
mcdonalds,plastic,20465,21.1,1
mcdonalds,paper,9404,9.7,2
mcdonalds,cup,7748,8,3
mcdonalds,sauce,7564,7.8,4
mcdonalds,saucecup,4530,4.7,5
mcdonalds,lid,4125,4.2,6
mcdonalds,fastfood,3955,4.1,7
mcdonalds,soda,3879,4,8
mcdonalds,cardboard,3831,3.9,9
mcdonalds,straw,3201,3.3,10
drink,can,16738,14.2,1
drink,plastic,15594,13.2,2
drink,metal,13674,11.6,3
drink,bottle,9761,8.3,4
drink,cup,3951,3.4,5
drink,alcohol,3892,3.3,6
drink,energydrink,2928,2.5,7
drink,redbull,2648,2.2,8
drink,aluminum,2568,2.2,9
drink,soda,2439,2.1,10
antaflu,plastic,23237,33.6,1
antaflu,wrapper,18853,27.2,2
antaflu,candy,17006,24.6,3
antaflu,candywrapper,3225,4.7,4
antaflu,pervasco,282,0.4,5
antaflu,singleuse,267,0.4,6
antaflu,plasticwrapper,227,0.3,7
antaflu,can,169,0.2,8
antaflu,zwerfie,167,0.2,9
antaflu,bag,149,0.2,10
